%x,%y,%theta,%velocity,%steering,%label
-1.141471568309049105e-02,1.166547844343178951e-02,-1.397034802370633599e-02,4.428812988254814398e-01,-2.704923882423833793e-03,0.000000000000000000e+00
-9.277275024641831735e-03,9.472556495190444237e-03,-1.468735239557517058e-02,4.207438582285936146e-01,-3.237845352352690907e-03,0.000000000000000000e+00
-8.647218482536724038e-03,8.839197347070032462e-03,-9.653950878899308918e-03,1.000000000000000000e+00,9.563171340144354174e-03,0.000000000000000000e+00
-9.283936272668037032e-03,9.494983700343358202e-03,-7.608713053805726823e-03,1.000000000000000000e+00,3.885932307758586772e-03,0.000000000000000000e+00
-8.871206620199145049e-03,9.080050192549793051e-03,-7.289839332891845380e-03,1.000000000000000000e+00,6.058599956064040018e-04,0.000000000000000000e+00
-8.209081401732612471e-03,8.404365740678128652e-03,-7.191572708926119439e-03,9.567106887583969321e-01,1.951546955194670885e-04,0.000000000000000000e+00
-1.015047882470720628e-02,1.037016729153192492e-02,-7.050089537944614904e-03,9.088795663458676399e-01,2.957685781266171810e-04,0.000000000000000000e+00
-9.556459530863727764e-03,9.764151162718096369e-03,-7.500621884622526991e-03,8.634410584973305491e-01,-9.913950348038988621e-04,0.000000000000000000e+00
-8.679772200403650800e-03,8.871191894315174492e-03,-7.848600558382656800e-03,8.202734154810759071e-01,-8.060231192269812651e-04,0.000000000000000000e+00
-1.094482088123154527e-02,1.116946662117955860e-02,-8.071120374529616726e-03,7.792638042470536597e-01,-5.425474747978301700e-04,0.000000000000000000e+00
-9.281906894361407340e-03,9.477655568384833751e-03,-8.653290700706417482e-03,7.403079346713907771e-01,-1.494138783078938172e-03,0.000000000000000000e+00
-1.099937276302112923e-02,1.122358030363932065e-02,-8.969343312008271063e-03,7.032945477878234097e-01,-8.538382921251853625e-04,0.000000000000000000e+00
-9.736281641572518478e-03,9.936945670317845480e-03,-9.558227981728784073e-03,6.681370523335194989e-01,-1.674626220236266746e-03,0.000000000000000000e+00
-1.054555214075672889e-02,1.076146469611320017e-02,-9.947996318048990538e-03,6.347321747582990170e-01,-1.166727530805656155e-03,0.000000000000000000e+00
-9.409751225678671116e-03,9.603148879225427426e-03,-1.047294210058336006e-02,6.030012622624570939e-01,-1.654053050374454555e-03,0.000000000000000000e+00
-1.016840645144202575e-02,1.037842166076456511e-02,-1.083078675214843578e-02,5.728531395755659394e-01,-1.186874037599556586e-03,0.000000000000000000e+00
-1.161387488528051702e-02,1.185669016694138739e-02,-1.132381185377573374e-02,5.442157206598378094e-01,-1.721278405599786310e-03,0.000000000000000000e+00
-1.049687441845139832e-02,1.071647387880358265e-02,-1.204626090294624863e-02,5.170139526411358100e-01,-2.654957300910888544e-03,0.000000000000000000e+00
-1.020876865485947742e-02,1.042387375085727930e-02,-1.259666352074961804e-02,4.911637596178264342e-01,-2.129154224214164885e-03,0.000000000000000000e+00
-9.314409307507612312e-03,9.509636595465270972e-03,-1.311646739466465483e-02,4.666087351297358299e-01,-2.116603936492090794e-03,0.000000000000000000e+00
-1.019169502851886497e-02,1.041331413203333903e-02,-1.351735935888542794e-02,4.432797012535240055e-01,-1.718314599572708188e-03,0.000000000000000000e+00
-8.897358237918527937e-03,9.087271458662728521e-03,-1.407820402145809613e-02,4.211217247288867593e-01,-2.530390910752406634e-03,0.000000000000000000e+00
-1.032492277820790810e-02,1.056982364163537233e-02,-9.246083314095598915e-03,1.000000000000000000e+00,9.180771396735089990e-03,0.000000000000000000e+00
-9.193386291510261682e-03,9.423268404015281569e-03,-8.178203775618508864e-03,1.000000000000000000e+00,2.028968338875257633e-03,0.000000000000000000e+00
-9.743235920740202227e-03,9.986954433091149025e-03,-7.460729089520667934e-03,1.000000000000000000e+00,1.363201059165259580e-03,0.000000000000000000e+00
-9.377457160959213472e-03,9.610893294981692411e-03,-7.660661334715435089e-03,9.570681259914648464e-01,-3.969113959660404011e-04,0.000000000000000000e+00
-9.967112056782981289e-03,1.020530483706471800e-02,-7.794545752461523591e-03,9.092190179590018406e-01,-2.797789994001818100e-04,0.000000000000000000e+00
-1.102434803661296939e-02,1.127518551560267000e-02,-8.096864617116450447e-03,8.637631110454229155e-01,-6.650038081345778680e-04,0.000000000000000000e+00
